animal_name	species_group
skunk	Mammal- Terrestrial
redfox	Mammal- Terrestrial
fox	Mammal- Terrestrial
bobcat	Mammal- Terrestrial
raccoon	Mammal- Terrestrial
blackbear	Mammal- Terrestrial
stripedskunk	Mammal- Terrestrial
cat	Mammal- Terrestrial
domesticcat	Mammal- Terrestrial
feline	Mammal- Terrestrial
vulpesvulpes	Mammal- Terrestrial
coyote	Mammal- Terrestrial
wildmink	Mammal- Terrestrial
dairycattle	Ruminant
goat	Ruminant
harborseal	Mammal- Marine
greyseal	Mammal- Marine
bottlenosedolphin	Mammal- Marine
dolphin	Mammal- Marine
Human	Human
