	strain_host	corrected_host	latin_name	category	order	domesticstatus	source
0	?anserbrachyrhynchus	pinkfootedgoose	Anser brachyrhynchus	goose	anseriformes	wild	jordan,clara_global
1	aalopochenaegyptiaca	egyptiangoose	Alopochen aegyptiaca	goose	anseriformes	wild	jordan,clara_global
2	african_goose	africangoose		goose	anseriformes	domestic	clara_birds
3	africanbarnowl	westernbarnowl	Tyto alba	owl	strigiformes	wild	jordan
4	africanblackoystercatcher	africanoystercatcher	Haematopus moquini	wader	charadriiformes	wild	jordan
5	africancrownedcrane	africancrownedcrane	Balearica regulorum	crane	gruiformes	wild	clara_nam
6	africanfisheagle	africanfisheagle	Icthyophaga vocifer	eagle	accipitriformes	wild	jordan
7	africangoose	africangoose	Anser cygnoides domesticus	goose	anseriformes	domestic	clara_nam,clara_birds,clara_global
8	africanoystercatcher	africanoystercatcher	Haematopus moquini	wader	charadriiformes	wild	jordan
9	africanpenguin	africanpenguin	Spheniscus demersus		sphenisciformes	unknown	jordan
10	aix_sponsa	woodduck	Aix sponsa	duck	anseriformes	wild 	clara_birds
11	amazonparrot	amazonparrot	Amazona	parrot	psittaciformes	unknown	clara_nam,clara_global
12	american_coot	americancoot	Fulica americana	coot	gruiformes	wild	clara_birds
13	american_green_winged_teal	americangreenwingedteal		duck	anseriformes	wild	clara_birds
14	american_oystercatcher	americanoystercatcher		wader	charadriiformes	wild 	clara_birds
15	American_Pekin_duck	pekinduck	Anas platyrhynchos	duck	anseriformes	domestic	clara_birds
16	american_widgeon	americanwigeon	Mareca americana	duck	anseriformes	wild	clara_birds
17	american_wigeon	americanwigeon	Mareca americana	duck	anseriformes	wild	clara_birds
18	americanblackduck	americanblackduck	Anas rubripes	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
19	americanbluewingedteal	bluewingedteal	Spatula discors	duck	anseriformes	wild	clara_nam,clara_birds
20	americanbuffgoose	americanbuffgoose	Anser anser domesticus	goose	anseriformes	domestic	clara_nam,clara_birds,clara_global
21	americancoot	americancoot	Fulica americana	crane	gruiformes	wild	clara_nam,clara_global
22	americancrow	americancrow	Corvus brachyrhynchos	passerine	passeriformes	wild	clara_nam,clara_birds,clara_global
23	americangoshawk	americangoshawk	Astur atricapillus	raptor	accipitriformes	wild	clara_nam
24	americangreen_wingedteal	americangreenwingedteal	Anas carolinensis	duck	anseriformes	wild	clara_birds
25	americangreen-wingedteal	americangreenwingedteal	Anas carolinensis	duck	anseriformes	wild	clara_birds
26	americangreenwingedteal	americangreenwingedteal	Anas carolinensis	duck	anseriformes	wild	clara_nam,clara_global
27	americankestrel	americankestrel	Falco sparverius	raptor	falconiformes	wild	clara_nam,clara_global
28	americanpelican	americanwhitepelican	Pelecanus erythrorhynchos	pelican	pelecaniformes	wild	clara_nam,clara_birds,clara_global
29	americanraven	commonraven	Corvus corax 	passerine	passeriformes	wild	clara_nam,clara_global
30	americanrobin	americanrobin	Turdus migratorius	passerine	passeriformes	wild	clara_nam,clara_global
31	americanwhitepelican	americanwhitepelican	Pelecanus erythrorhynchos	pelican	pelecaniformes	wild	clara_nam,clara_birds,clara_global
32	americanwidgeon	americanwigeon	Mareca americana	duck	anseriformes	wild	jordan
33	americanwigeon	americanwigeon	Mareca americana	duck	anseriformes	wild	clara_nam,clara_birds,clara_global
34	americanwoodcock	americanwoodcock	Scolopax minor	wader	charadriiformes	wild	jordan
35	americanwoodstork	americanwoodstork	Mycteria americana	wader	ciconiiformes	wild	clara_nam
36	anade	duck			unknown	unknown	jordan,clara_global
37	anas_acuta	northernpintail	Anas acuta	duck	anseriformes	wild	clara_birds
38	anas_americana	americanwigeon	Mareca americana	duck	anseriformes	wild	clara_birds
39	anas_carolinensis	americangreenwingedteal	Anas carolinensis	duck	anseriformes	wild	clara_birds
40	anas_clypeata	northernshoveler	Spatula clypeata	duck	anseriformes	wild	clara_birds
41	anas_crecca	eurasiangreenwingedteal	Anas crecca	duck	anseriformes	wild	clara_birds
42	anas_cyanoptera	cinnamonteal		duck	anseriformes	wild	clara_birds
43	anas_discors	bluewingedteal	Spatula discors	duck	anseriformes	wild	clara_birds
44	anas_georgica	yellowbilledpintail	Anas georgica	duck	anseriformes	wild	clara_birds
